era,variant,engine,.metric,.estimate
1860,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.5194146104510449
1860,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.557713841797054
1860,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.8281646848099085
1860,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7596638655462186
1870,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7212230215827338
1870,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.442559646053189
1870,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.493443893453199
1870,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.7955656498008651
1870,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7207207207207207
1860,glmnet alpha=0,glmnet,accuracy,0.7033613445378152
1860,glmnet alpha=0,glmnet,kap,0.40660200648108646
1860,glmnet alpha=0,glmnet,mn_log_loss,0.9804789119483017
1860,glmnet alpha=0,glmnet,roc_auc,0.7707289786162882
1860,glmnet alpha=0,glmnet,f_meas,0.707539353769677
1870,glmnet alpha=0,glmnet,accuracy,0.6627697841726619
1870,glmnet alpha=0,glmnet,kap,0.325692256941974
1870,glmnet alpha=0,glmnet,mn_log_loss,0.9449820655678417
1870,glmnet alpha=0,glmnet,roc_auc,0.7167334763351418
1870,glmnet alpha=0,glmnet,f_meas,0.6618575293056808
1860,glmnet alpha=0.5,glmnet,accuracy,0.7495798319327731
1860,glmnet alpha=0.5,glmnet,kap,0.4998829459266593
1860,glmnet alpha=0.5,glmnet,mn_log_loss,1.1330378865990065
1860,glmnet alpha=0.5,glmnet,roc_auc,0.8232912665519647
1860,glmnet alpha=0.5,glmnet,f_meas,0.7372134038800705
1870,glmnet alpha=0.5,glmnet,accuracy,0.7113309352517986
1870,glmnet alpha=0.5,glmnet,kap,0.42365371946730046
1870,glmnet alpha=0.5,glmnet,mn_log_loss,1.1240185275937284
1870,glmnet alpha=0.5,glmnet,roc_auc,0.7899507258474151
1870,glmnet alpha=0.5,glmnet,f_meas,0.6922339405560882
1860,"glmnet alpha=1, lambda.1se",glmnet,accuracy,0.7529411764705882
1860,"glmnet alpha=1, lambda.1se",glmnet,kap,0.5068184957865446
1860,"glmnet alpha=1, lambda.1se",glmnet,mn_log_loss,1.0674025360458974
1860,"glmnet alpha=1, lambda.1se",glmnet,roc_auc,0.8243902576837561
1860,"glmnet alpha=1, lambda.1se",glmnet,f_meas,0.7360861759425492
1870,"glmnet alpha=1, lambda.1se",glmnet,accuracy,0.7095323741007195
1870,"glmnet alpha=1, lambda.1se",glmnet,kap,0.42019384124647285
1870,"glmnet alpha=1, lambda.1se",glmnet,mn_log_loss,1.0449928680109604
1870,"glmnet alpha=1, lambda.1se",glmnet,roc_auc,0.7873155454613102
1870,"glmnet alpha=1, lambda.1se",glmnet,f_meas,0.6873184898354308
1860,"xgboost depth=4, eta=0.05",xgboost,accuracy,0.746218487394958
1860,"xgboost depth=4, eta=0.05",xgboost,kap,0.4931928371780806
1860,"xgboost depth=4, eta=0.05",xgboost,mn_log_loss,1.0952108215685945
1860,"xgboost depth=4, eta=0.05",xgboost,roc_auc,0.8150332946285043
1860,"xgboost depth=4, eta=0.05",xgboost,f_meas,0.7332155477031803
1870,"xgboost depth=4, eta=0.05",xgboost,accuracy,0.7257194244604317
1870,"xgboost depth=4, eta=0.05",xgboost,kap,0.45196005558607755
1870,"xgboost depth=4, eta=0.05",xgboost,mn_log_loss,1.080296527082291
1870,"xgboost depth=4, eta=0.05",xgboost,roc_auc,0.7939641589584809
1870,"xgboost depth=4, eta=0.05",xgboost,f_meas,0.7168059424326833
1860,"xgboost depth=4, eta=0.1",xgboost,accuracy,0.7504201680672269
1860,"xgboost depth=4, eta=0.1",xgboost,kap,0.501347404658775
1860,"xgboost depth=4, eta=0.1",xgboost,mn_log_loss,1.2318011148049635
1860,"xgboost depth=4, eta=0.1",xgboost,roc_auc,0.8188981271948039
1860,"xgboost depth=4, eta=0.1",xgboost,f_meas,0.7424111014744146
1870,"xgboost depth=4, eta=0.1",xgboost,accuracy,0.7383093525179856
1870,"xgboost depth=4, eta=0.1",xgboost,kap,0.47702133986695716
1870,"xgboost depth=4, eta=0.1",xgboost,mn_log_loss,1.2184027508614232
1870,"xgboost depth=4, eta=0.1",xgboost,roc_auc,0.7915441283522116
1870,"xgboost depth=4, eta=0.1",xgboost,f_meas,0.7317972350230414
1860,"xgboost depth=4, eta=0.3",xgboost,accuracy,0.7344537815126051
1860,"xgboost depth=4, eta=0.3",xgboost,kap,0.46907552726769586
1860,"xgboost depth=4, eta=0.3",xgboost,mn_log_loss,1.700777597378736
1860,"xgboost depth=4, eta=0.3",xgboost,roc_auc,0.7997717262636279
1860,"xgboost depth=4, eta=0.3",xgboost,f_meas,0.7331081081081081
1870,"xgboost depth=4, eta=0.3",xgboost,accuracy,0.7131294964028777
1870,"xgboost depth=4, eta=0.3",xgboost,kap,0.4265706230763262
1870,"xgboost depth=4, eta=0.3",xgboost,mn_log_loss,1.6242712767086163
1870,"xgboost depth=4, eta=0.3",xgboost,roc_auc,0.7673632342997279
1870,"xgboost depth=4, eta=0.3",xgboost,f_meas,0.708675799086758
1860,"xgboost depth=6, eta=0.05",xgboost,accuracy,0.7512605042016807
1860,"xgboost depth=6, eta=0.05",xgboost,kap,0.5030151505317784
1860,"xgboost depth=6, eta=0.05",xgboost,mn_log_loss,1.1686065270100225
